zcr,spectral_c,rolloff,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
35042,1648.8848320568998,3760.300128697796,-233.72897,101.19028,17.647953,23.734175,2.082544,25.9364,-16.956388,15.084955,-22.273956,4.381612,-23.201656,-6.0505795,-5.0679283,1.0592705,-5.7868657,-8.313065,-11.38215,-6.7243814,-10.0169525,-14.028803,blues
34067,1324.5278253934116,2711.4849187935033,-209.80392,124.46476,10.309394,47.016357,6.478227,15.41512,-2.0159416,6.7262187,-21.543222,10.720835,-5.5328465,-2.1957276,-3.0491858,8.643512,-0.307013,-0.63291776,-2.9335587,-1.7062991,-1.7673151,-7.755139,blues
77661,2280.1541864340825,4732.98305856656,-144.92339,95.732994,-21.616442,49.62627,-29.88752,29.351145,-18.850819,17.902308,-9.670823,5.516722,-9.557408,6.359987,-21.088718,2.4660542,-9.539148,-1.4058187,-9.312422,5.1551495,-8.118464,-2.4402168,blues
52454,1817.2305903199679,3943.8319655416185,-213.26424,115.16476,-11.69817,39.015358,-20.34833,13.082702,-9.182701,9.017152,-14.104312,4.2712545,-6.0507803,3.7858355,0.22263563,-5.106882,-0.41015333,-1.1793449,-1.914708,-2.2936609,2.8842604,-4.2338796,blues
23406,1151.310495419208,2312.1797282845127,-301.70804,111.53328,21.896053,16.15057,8.19879,22.081917,-8.601798,1.4827528,-17.077759,-8.343712,-17.01078,-10.576027,-15.687029,-12.606835,-12.262773,-14.563126,-10.112008,-5.792038,-7.775544,-7.1875286,blues
14380,570.3499043432636,929.3001037739269,-350.35263,169.53174,31.771353,16.71844,28.658941,19.24618,7.845076,10.037885,4.7406454,2.9217064,3.900229,1.8129543,-5.969145,-5.2570925,-0.23415942,-1.7799479,-3.709091,0.17281216,2.071619,-2.8897855,blues
38549,1612.6456366689215,3468.7358953560033,-177.56758,115.369,9.970585,54.043877,7.624313,28.312319,-9.054929,20.04951,-15.044514,6.2095737,-5.692567,1.3833519,-5.8288145,5.0139456,-0.751255,5.0595355,-5.085073,-2.8075423,2.4244502,-5.37811,blues
59632,1886.9577813598776,3828.2471269576567,-92.73328,115.32343,-35.068222,57.875343,1.8522309,26.613142,-14.536868,22.12833,-8.207463,11.016058,-5.6494255,7.278642,-10.204165,1.3267536,-4.1071086,0.97499365,-6.5528083,-0.68916047,-2.1258135,-1.5101185,blues
31736,1046.775126562816,1831.2215641313805,-264.67123,138.85434,11.16733,48.523926,14.904313,20.586437,3.2061763,1.2635795,-15.839373,15.975112,3.358218,-1.506641,1.8969209,6.3134995,-0.995984,-2.414784,-3.6791573,0.49927172,5.04406,-0.78631663,blues
69150,2068.3321715923803,4231.815658533933,-95.44059,105.23433,-26.953482,60.816486,-4.854668,21.543472,-13.520524,12.135531,-20.231928,12.156194,-5.2262135,10.267819,-9.4598,3.8689907,-10.188684,3.5827925,-3.1101313,0.2006278,0.8418171,-3.4198139,blues
